checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_debtors,residence_since,property,age,other_installment,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
<0,6,critical,radio/TV,1169,no savings,>=7yr,4,male single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,0
0-200,48,existing paid,radio/TV,5951,<100,1-4yr,2,female,none,2,real estate,22,none,own,1,skilled,1,none,yes,1
no checking,12,critical,education,2096,<100,4-7yr,2,male single,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,0
<0,42,existing paid,furniture,7882,<100,4-7yr,2,male single,guarantor,4,insurance/savings,45,none,free,1,skilled,2,none,yes,0
<0,24,delayed,car (new),4870,<100,1-4yr,3,male single,none,4,no property,53,none,free,2,skilled,2,none,yes,1
no checking,36,existing paid,education,9055,no savings,1-4yr,2,male single,none,4,no property,35,none,free,1,unskilled resident,2,yes,yes,0
no checking,24,existing paid,furniture,2835,500-1000,>=7yr,3,male single,none,4,insurance/savings,53,none,own,1,skilled,1,none,yes,0
0-200,36,existing paid,car (used),6948,<100,1-4yr,2,male single,none,2,car,35,none,rent,1,management,1,yes,yes,0
no checking,12,existing paid,radio/TV,3059,>=1000,4-7yr,2,male divorced,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,0
0-200,30,critical,car (new),5234,<100,unemployed,4,male married,none,2,car,28,none,own,2,management,1,none,yes,1
0-200,12,existing paid,car (new),1295,<100,<1yr,3,female,none,1,car,25,none,rent,1,skilled,1,none,yes,1
<0,48,existing paid,business,4308,<100,<1yr,3,female,none,4,insurance/savings,24,none,rent,1,skilled,1,none,yes,1
0-200,12,existing paid,radio/TV,1567,<100,1-4yr,1,female,none,1,car,22,none,own,1,skilled,1,yes,yes,0
<0,24,critical,car (new),1199,<100,>=7yr,4,male single,none,4,car,60,none,own,2,unskilled resident,1,none,yes,1
<0,15,existing paid,car (new),1403,<100,1-4yr,2,female,none,4,car,28,none,rent,1,skilled,1,none,yes,0
<0,24,existing paid,radio/TV,1282,100-500,1-4yr,4,female,none,2,car,32,none,own,1,unskilled resident,1,none,yes,1
no checking,24,critical,radio/TV,2424,no savings,>=7yr,4,male single,none,4,insurance/savings,53,none,own,2,skilled,1,none,yes,0
<0,30,no credits,business,8072,no savings,<1yr,2,male single,none,3,car,25,bank,own,3,skilled,1,none,yes,0
0-200,24,existing paid,car (used),12579,<100,>=7yr,4,female,none,2,no property,44,none,free,1,management,1,yes,yes,1
no checking,24,existing paid,radio/TV,3430,500-1000,>=7yr,3,male single,none,2,car,31,none,own,1,skilled,2,yes,yes,0
no checking,9,critical,car (new),2134,<100,1-4yr,4,male single,none,4,car,48,none,own,3,skilled,1,yes,yes,0
