feature,bin,n,bad,good,pct_good,pct_bad,woe
checking_status,0-200,269,105,164,0.2342857139510204,0.3499999988333333,-0.40139036967097164
checking_status,<0,274,135,139,0.1985714282877551,0.4499999985,-0.8180958900513902
checking_status,>=200,63,14,49,0.0699999999,0.046666666511111114,0.405457967283281
checking_status,no checking,394,46,348,0.49714285643265305,0.15333333282222222,1.1762587145772845
duration,"(12.0, 15.0]",72,13,59,0.08428571416530613,0.04333333318888889,0.6652790156412703
duration,"(15.0, 24.0]",339,109,230,0.3285714281020408,0.36333333212222224,-0.10056614060455589
duration,"(24.0, 30.0]",57,19,38,0.05428571420816326,0.06333333312222222,-0.15414804638858842
duration,"(3.999, 12.0]",359,76,283,0.40428571370816324,0.2533333324888889,0.4674142250089991
duration,"(30.0, 72.0]",173,83,90,0.1285714283877551,0.27666666574444443,-0.7663246326525436
credit_history,all paid,49,28,21,0.029999999957142857,0.09333333302222223,-1.1349573123847374
credit_history,critical,293,50,243,0.3471428566469388,0.1666666661111111,0.7337374601022318
credit_history,delayed,88,28,60,0.08571428559183673,0.09333333302222223,-0.08515685406526914
credit_history,existing paid,530,169,361,0.515714284977551,0.5633333314555555,-0.08831845116269904
credit_history,no credits,40,25,15,0.021428571397959183,0.08333333305555556,-1.3580888165985945
purpose,appliances,12,4,8,0.011428571412244898,0.01333333328888889,-0.15413817893816376
purpose,business,97,34,63,0.08999999987142857,0.11333333295555556,-0.23052136914818547
purpose,car (new),234,89,145,0.20714285684693878,0.2966666656777778,-0.35919902900029294
purpose,car (used),103,17,86,0.12285714268163266,0.05666666647777778,0.7738265863134447
purpose,education,50,22,28,0.03999999994285714,0.0733333330888889,-0.6061244382487202
purpose,furniture,181,58,123,0.1757142854632653,0.1933333326888889,-0.09555599501615232
purpose,others,12,5,7,0.009999999985714285,0.01666666661111111,-0.5107856250610247
purpose,radio/TV,280,62,218,0.3114285709836735,0.20666666597777777,0.4100611915675924
purpose,repairs,22,8,14,0.01999999997142857,0.02666666657777778,-0.28766957109392366
purpose,retraining,9,1,8,0.011428571412244898,0.0033333333222222224,1.2319312243596197
credit_amount,"(1262.0, 1906.8]",199,48,151,0.21571428540612245,0.15999999946666668,0.2987793531949528
credit_amount,"(1906.8, 2852.4]",200,54,146,0.2085714282734694,0.1799999994,0.1473239556305394
credit_amount,"(249.999, 1262.0]",201,61,140,0.19999999971428573,0.20333333265555556,-0.016529218079651242
